제품명,평균_점수,총_점수
보테니컬 무드 웨어 컬픽스 마스카라,1.290482521262474,145.82452490265956
(오 에디션) 오 글로우 쿠션 [SPF40/PA+++],1.2904824894320932,147.11500379525862
수딩 젤 로션,1.2904776108874128,65.81435815525805
어웨이크닝 바디오일 페퍼민트 & 유칼립투스,1.2904657518092773,78.7184108603659
이너밸런싱 포밍워시,1.2904598150582762,176.79299466298386
아쿠아티카 썬스크린 100 [SPF50+/PA++++],1.2904581680232223,144.5313148186009
안티포어 리파이닝 로션,1.2904512744576517,49.03714842939077
아몬드 서플 스킨 오일,1.2904509318761834,73.55570311694245
링솔 [SPF50+/PA++++],1.2904470591504782,152.27275297975643
립 몬스터,1.2904467878860229,91.62172193990763
수안수 실크스킨 풋크림 [레몬 민트],1.2904462723244565,50.3274046206538
워터 베일 프라이머,1.2904445088726577,147.11067401148298
파라다이스 듀얼 팔레트,1.2904400943448808,60.650684434209396
(레이스 레이스 컬렉션) 파츠 코트 셀프 젤 네일,1.2904327004792302,20.646923207667683
실리콘 마스크 브러시,1.2904266636174466,51.61706654469786
블루 아가베 포어 에센스 토너,1.290423133196464,150.97950658398628
(리본 에디션) 에센셜 아이 팔레트,1.2904212996287763,96.78159747215823
컬링 에센스 2X 볼륨,1.290414373921018,94.20024929623432
모이스트페어™ 수분 미스트,1.2904100222907668,113.55608196158748
9000시리즈 전기면도기 S9031/12,1.290409008493662,3.8712270254809855
아쿠아 피토플렉스 크림 인 토너 미스트,1.2904046007271317,145.8157198821659
아베이 로얄 어드밴스드 유쓰 워터리 오일,1.2904001778024858,104.52241440200136
스칼프 퓨리파잉 마이크로바이옴 샴푸,1.2903984484924476,158.71900916457105
